Comet-Planner Land Type,Crop,Practice,Crop Acreage 2016,Crop Acreage 2030,Carbon,NO,CH4,Total CO2,payment,25_CO2eq_2016,50_CO2eq_2016,75_CO2eq_2016,100_CO2eq_2016,25_CO2eq_2030,50_CO2eq_2030,75_CO2eq_2030,100_CO2eq_2030
Cropland,Row Crop,Cover Crop (CPS 340) - Add Legume Seasonal Cover Crop to Irrigated Cropland-Multiple Species,77583.82686,61683.05752,0.495,-0.1,0,0.395,$320.10/Acre,7661.402902,15322.8058,22984.20871,30645.61161,6091.20193,12182.40386,18273.60579,24364.80772
Cropland,Row Crop,Cover Crop (CPS 340) - Add Legume Seasonal Cover Crop to Irrigated Cropland-One species,77583.82686,61683.05752,0.495,-0.1,0,0.395,$267.60/Acre,7661.402902,15322.8058,22984.20871,30645.61161,6091.20193,12182.40386,18273.60579,24364.80772
Cropland,Row Crop,Cover Crop (CPS 340) - Add Legume Seasonal Cover Crop to Non-Irrigated Cropland-Multiple Species,77583.82686,61683.05752,0.267,-0.072,0,0.195,$320.10/Acre,3782.211559,7564.423119,11346.63468,15128.84624,3007.049054,6014.098108,9021.147162,12028.19622
Cropland,Row Crop,Cover Crop (CPS 340) - Add Legume Seasonal Cover Crop to Non-Irrigated Cropland-One species,77583.82686,61683.05752,0.267,-0.072,0,0.195,$267.60/Acre,3782.211559,7564.423119,11346.63468,15128.84624,3007.049054,6014.098108,9021.147162,12028.19622
Cropland,Row Crop,Cover Crop (CPS 340) - Add Non-Legume Seasonal Cover Crop to Irrigated Cropland-One species,77583.82686,61683.05752,0.066,0.0038,0,0.0698,$267.60/Acre,1353.837779,2707.675557,4061.513336,5415.351115,1076.369354,2152.738707,3229.108061,4305.477415
Cropland,Row Crop,Cover Crop (CPS 340) - Add Non-Legume Seasonal Cover Crop to Non-Irrigated Cropland-One species,77583.82686,61683.05752,0.08,0.004,0,0.084,$267.60/Acre,1629.260364,3258.520728,4887.781092,6517.041456,1295.344208,2590.688416,3886.032624,5181.376832
Cropland,Row Crop,Hedgerow Planting (CPS 422) - Replace a Strip of Cropland with 1 Row of Woody Plants-Single Row,77583.82686,61683.05752,8.28,0.13,N.E.**,8.41,$10.82/Linear Foot,163119.996,326239.9919,489359.9879,652479.9839,129688.6284,259377.2569,389065.8853,518754.5137
Cropland,Row Crop,Nutrient Management (CPS 590) - Improved N Fertilizer Management on Irrigated Croplands - Reduce Fertilizer Application Rate by 15%-Basic NM,77583.82686,61683.05752,-0.0283,0.01,0,-0.0183,$44.16/Acre,-354.9460079,-709.8920158,-1064.838024,-1419.784032,-282.1999882,-564.3999763,-846.5999645,-1128.799953
Cropland,Row Crop,Nutrient Management (CPS 590) - Improved N Fertilizer Management on Non-Irrigated Croplands - Reduce Fertilizer Application Rate by 15%-Basic NM,77583.82686,61683.05752,-0.0023,0.0093,0,0.007,$44.16/Acre,135.771697,271.543394,407.315091,543.086788,107.9453507,215.8907013,323.836052,431.7814026
Cropland,Row Crop,Compost Application (CPS 808) - Compost (C/N < or = 11) Application to Annual Crops-Compost from certified composting facility,77583.82686,61683.05752,2.23,-0.269,0,1.961,$750.00/Acre,38035.47112,76070.94224,114106.4134,152141.8845,30240.11895,60480.2379,90720.35685,120960.4758
Cropland,Row Crop,Compost Application (CPS 808) - Compost (C/N < or = 11) Application to Annual Crops-On-farm produced compost,77583.82686,61683.05752,2.23,-0.269,0,1.961,$750.00/Acre,38035.47112,76070.94224,114106.4134,152141.8845,30240.11895,60480.2379,90720.35685,120960.4758
Cropland,Row Crop,Compost Application (CPS 808) - Compost (C/N > 11) Application to Annual Crops-Compost from certified composting facility,77583.82686,61683.05752,4.41,-0.259,0.01,4.161,"$1,200.00/Acre",80706.57589,161413.1518,242119.7277,322826.3036,64165.80059,128331.6012,192497.4018,256663.2023
Cropland,Row Crop,Compost Application (CPS 808) - Compost (C/N > 11) Application to Annual Crops-On-farm produced compost,77583.82686,61683.05752,4.41,-0.259,0.01,4.161,"$1,200.00/Acre",80706.57589,161413.1518,242119.7277,322826.3036,64165.80059,128331.6012,192497.4018,256663.2023
Cropland,Row Crop,Mulching (CPS 484) - Add Mulch to Croplands-Natural Materials,77583.82686,61683.05752,0.206,0,N.E.**,0.206,"$1,194.06/Acre",3995.567083,7991.134167,11986.70125,15982.26833,3176.677462,6353.354925,9530.032387,12706.70985
Cropland,Row Crop,Mulching (CPS 484) - Add Mulch to Croplands-Wood Chips,77583.82686,61683.05752,0.206,0,N.E.**,0.206,"$7,464.42/Acre",3995.567083,7991.134167,11986.70125,15982.26833,3176.677462,6353.354925,9530.032387,12706.70985
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Broadcast Seeding,77583.82686,61683.05752,0.078,0.128,0,0.206,"$1,967.48/Acre",3995.567083,7991.134167,11986.70125,15982.26833,3176.677462,6353.354925,9530.032387,12706.70985
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Broadcast Seeding with Foregone Income,77583.82686,61683.05752,0.078,0.128,0,0.206,"$3,175.60/Acre",3995.567083,7991.134167,11986.70125,15982.26833,3176.677462,6353.354925,9530.032387,12706.70985
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Combination Broadcast Seeding and Plug Planting,77583.82686,61683.05752,0.078,0.128,0,0.206,"$15,252.22/Acre",3995.567083,7991.134167,11986.70125,15982.26833,3176.677462,6353.354925,9530.032387,12706.70985
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Combination Broadcast Seeding and Plug Planting with Foregone Income,77583.82686,61683.05752,0.078,0.128,0,0.206,"$16,560.72/Acre",3995.567083,7991.134167,11986.70125,15982.26833,3176.677462,6353.354925,9530.032387,12706.70985
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Plug Planting,77583.82686,61683.05752,0.078,0.128,0,0.206,"$29,966.94/Acre",3995.567083,7991.134167,11986.70125,15982.26833,3176.677462,6353.354925,9530.032387,12706.70985
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Plug Planting with Foregone Income,77583.82686,61683.05752,0.078,0.128,0,0.206,"$30,683.44/Acre",3995.567083,7991.134167,11986.70125,15982.26833,3176.677462,6353.354925,9530.032387,12706.70985
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Pollinator Cover,77583.82686,61683.05752,0.078,0.128,0,0.206,"$3,801.04/Acre",3995.567083,7991.134167,11986.70125,15982.26833,3176.677462,6353.354925,9530.032387,12706.70985
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Pollinator Cover with Foregone Income,77583.82686,61683.05752,0.078,0.128,0,0.206,"$4,435.48/Acre",3995.567083,7991.134167,11986.70125,15982.26833,3176.677462,6353.354925,9530.032387,12706.70985
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats-Broadcast Seeding with Foregone Income,77583.82686,61683.05752,0.607,0.018,0,0.625,"$3,175.60/Acre",12122.47295,24244.94589,36367.41884,48489.89179,9637.977738,19275.95548,28913.93321,38551.91095
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats-Broadcast Seeding,77583.82686,61683.05752,0.607,0.018,0,0.625,"$1,967.48/Acre",12122.47295,24244.94589,36367.41884,48489.89179,9637.977738,19275.95548,28913.93321,38551.91095
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats-Combination Broadcast Seeding and Plug Planting,77583.82686,61683.05752,0.607,0.018,0,0.625,"$15,252.22/Acre",12122.47295,24244.94589,36367.41884,48489.89179,9637.977738,19275.95548,28913.93321,38551.91095
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats-Combination Broadcast Seeding and Plug Planting with Foregone Income,77583.82686,61683.05752,0.607,0.018,0,0.625,"$16,560.72/Acre",12122.47295,24244.94589,36367.41884,48489.89179,9637.977738,19275.95548,28913.93321,38551.91095
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats-Plug Planting,77583.82686,61683.05752,0.607,0.018,0,0.625,"$29,966.94/Acre",12122.47295,24244.94589,36367.41884,48489.89179,9637.977738,19275.95548,28913.93321,38551.91095
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats-Pollinator Cover,77583.82686,61683.05752,0.607,0.018,0,0.625,"$3,801.04/Acre",12122.47295,24244.94589,36367.41884,48489.89179,9637.977738,19275.95548,28913.93321,38551.91095
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats-Plug Planting with Foregone Income,77583.82686,61683.05752,0.607,0.018,0,0.625,"$30,683.44/Acre",12122.47295,24244.94589,36367.41884,48489.89179,9637.977738,19275.95548,28913.93321,38551.91095
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats-Pollinator Cover with Foregone Income,77583.82686,61683.05752,0.607,0.018,0,0.625,"$4,435.48/Acre",12122.47295,24244.94589,36367.41884,48489.89179,9637.977738,19275.95548,28913.93321,38551.91095
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Broadcast Seeding,77583.82686,61683.05752,0.055,0.088,0,0.143,"$1,967.48/Acre",2773.62181,5547.24362,8320.865431,11094.48724,2205.169306,4410.338613,6615.507919,8820.677225
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Broadcast Seeding with Foregone Income,77583.82686,61683.05752,0.055,0.088,0,0.143,"$3,175.60/Acre",2773.62181,5547.24362,8320.865431,11094.48724,2205.169306,4410.338613,6615.507919,8820.677225
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Combination Broadcast Seeding and Plug Planting,77583.82686,61683.05752,0.055,0.088,0,0.143,"$15,252.22/Acre",2773.62181,5547.24362,8320.865431,11094.48724,2205.169306,4410.338613,6615.507919,8820.677225
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Combination Broadcast Seeding and Plug Planting with Foregone Income,77583.82686,61683.05752,0.055,0.088,0,0.143,"$16,560.72/Acre",2773.62181,5547.24362,8320.865431,11094.48724,2205.169306,4410.338613,6615.507919,8820.677225
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Plug Planting,77583.82686,61683.05752,0.055,0.088,0,0.143,"$29,966.94/Acre",2773.62181,5547.24362,8320.865431,11094.48724,2205.169306,4410.338613,6615.507919,8820.677225
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Plug Planting with Foregone Income,77583.82686,61683.05752,0.055,0.088,0,0.143,"$30,683.44/Acre",2773.62181,5547.24362,8320.865431,11094.48724,2205.169306,4410.338613,6615.507919,8820.677225
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Pollinator Cover,77583.82686,61683.05752,0.055,0.088,0,0.143,"$3,801.04/Acre",2773.62181,5547.24362,8320.865431,11094.48724,2205.169306,4410.338613,6615.507919,8820.677225
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats-Pollinator Cover with Foregone Income,77583.82686,61683.05752,0.055,0.088,0,0.143,"$4,435.48/Acre",2773.62181,5547.24362,8320.865431,11094.48724,2205.169306,4410.338613,6615.507919,8820.677225
Cropland,Row Crop,Riparian Herbaceous Cover (CPS 390) - Convert Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats-Broadcast Seeding with Foregone Income,77583.82686,61683.05752,0.601,-0.026,0,0.575,"$3,175.60/Acre",11152.67511,22305.35022,33458.02533,44610.70044,8866.939519,17733.87904,26600.81856,35467.75807
