Landcover Classification,Total Aboveground Carbon (MT C),Total Soil Carbon (MT C),Total NO Emissions (MT CO2e),Total Stocks (MT C),Acres
Barren,0,90077.412474,0,90077.412474,22207.783543365455
Developed,3372234.090304252,1356058.3923090007,0,4728292.4826132525,105836.17494440326
Fallow,2293.47,94663.749231,0,96957.219231,8027.50185322461
Fodder,12624.849131325567,107472.847779,396.2391066124907,120097.69691032557,6844.403261675315
Forest,11932600.874269487,2747504.040578998,0,14680104.914848486,292859.1549295775
Grassland,676689.8808960036,3543562.3876019954,0,4220252.268497999,239987.99110452188
Greenhouse,0,19398.359709,0,19398.359709,1937.2127501853224
Orchard,136676.00879999998,269416.90674899996,3600.7311607869,406092.9155489999,16878.280207561158
Pastureland,3115.9747640361597,48735.97324200001,276.52523948094114,51851.94800603617,2541.2157153446997
Riparian/Wetland,42546.25198800001,111282.989283,0,153829.241271,14932.394366197183
Row Crop,62001.36244696331,1113708.6732419997,32871.01892802348,1175710.035688963,80597.47961452928
Shrubland,18591734.12824817,6228164.287682991,0,24819898.41593116,804518.161601186
Vineyard,34147.41299999996,508851.927963,1815.7271292336534,542999.340963,30613.120830244625
Water,0,8469.227016,0,8469.227016,4381.467753891771
Total,34866664.30384824,16247367.174860984,38960.24156413746,51114031.47870922,1632162.342475908
