year,variable,land_class,value
2012,acres,Fallow,611.5671267996076
2012,acres,Fodder,2699.053352833609
2012,acres,Greenhouse,984.0772944923374
2012,acres,Orchard,12513.2450463805
2012,acres,Pastureland,3963.8370765135624
2012,acres,Row Crop,76037.72363913385
2012,acres,Vineyard,26520.548754832707
2012,acres,Rangeland,586364.540540542
2012,abvgc,Fallow,0
2012,abvgc,Fodder,3309.5113033629023
2012,abvgc,Greenhouse,0
2012,abvgc,Orchard,104827.08259459306
2012,abvgc,Pastureland,4860.357278835494
2012,abvgc,Row Crop,62157.028895953204
2012,abvgc,Vineyard,31125.311635134276
2012,abvgc,Rangeland,8785542.729020238
2012,soilc,Fallow,9427.631707809865
2012,soilc,Fodder,39471.58959518187
2012,soilc,Greenhouse,15099.351638351218
2012,soilc,Orchard,204799.5294971317
2012,soilc,Pastureland,66231.66423673369
2012,soilc,Row Crop,1037919.3777071945
2012,soilc,Vineyard,437194.8744304776
2012,soilc,Rangeland,6188893.747999575
2012,noemit,Fallow,0
2012,noemit,Fodder,293.700519108781
2012,noemit,Greenhouse,0
2012,noemit,Orchard,2540.966396836884
2012,noemit,Pastureland,431.32937917379604
2012,noemit,Row Crop,29956.88635595073
2012,noemit,Vineyard,1569.905664971593
2012,noemit,Rangeland,0
2016,acres,Fallow,3994.4333139657974
2016,acres,Fodder,3961.141386011499
2016,acres,Greenhouse,1523.6120850279112
2016,acres,Orchard,13312.732153947756
2016,acres,Pastureland,2649.638370765373
2016,acres,Row Crop,70206.6655981415
2016,acres,Vineyard,29374.686955302022
2016,acres,Rangeland,580821.4054054059
2016,abvgc,Fallow,0
2016,abvgc,Fodder,4857.051890975214
2016,abvgc,Greenhouse,0
2016,abvgc,Orchard,111524.61794594489
2016,abvgc,Pastureland,3248.91989580926
2016,abvgc,Row Crop,57390.43113629334
2016,abvgc,Vineyard,34475.013851351105
2016,abvgc,Rangeland,8702489.530514106
2016,soilc,Fallow,50289.20723273605
2016,soilc,Fodder,67896.433605887
2016,soilc,Greenhouse,16361.07131651335
2016,soilc,Orchard,219687.1800173493
2016,soilc,Pastureland,47682.76015629992
2016,soilc,Row Crop,988984.1002902649
2016,soilc,Vineyard,480648.6097968593
2016,soilc,Rangeland,6130387.695859149
2016,noemit,Fallow,0
2016,noemit,Fodder,431.0360445870756
2016,noemit,Greenhouse,0
2016,noemit,Orchard,2913.6003939478833
2016,noemit,Pastureland,288.3233723880694
2016,noemit,Row Crop,27631.5971962146
2016,noemit,Vineyard,1738.983146311948
2016,noemit,Rangeland,0
2019,acres,Fallow,6531.582954340382
2019,acres,Fodder,4907.707410894916
2019,acres,Greenhouse,1928.2631779295625
2019,acres,Orchard,13912.34748462314
2019,acres,Pastureland,1663.9893414542312
2019,acres,Row Crop,65833.372067397
2019,acres,Vineyard,31515.290605653776
2019,acres,Rangeland,576664.0540540535
2019,abvgc,Fallow,0
2019,abvgc,Fodder,6017.707331684534
2019,abvgc,Greenhouse,0
2019,abvgc,Orchard,116547.769459459
2019,abvgc,Pastureland,2040.341858539614
2019,abvgc,Row Crop,53815.48281654809
2019,abvgc,Vineyard,36987.29051351361
2019,abvgc,Rangeland,8640199.631634504
2019,soilc,Fallow,80935.38887643069
2019,soilc,Fodder,89215.06661391817
2019,soilc,Greenhouse,17307.361075134948
2019,soilc,Orchard,230852.91790751275
2019,soilc,Pastureland,33771.082095973194
2019,soilc,Row Crop,952282.6422275677
